B&BA1,B&BA2
66977,56128
71342,51264
75141,53941
69197,50623
63599,50245
66438,51910
69513,52619
75337,54486
70584,49313
4013,2864
10417,4961
5636,2932
4558,3325
4601,3301
3647,3440
3372,2799
4532,3523
4287,2690
5530,3096
29939,22169
28208,21273
32004,20189
32226,18788
35545,23215
26348,22414
23869,18309
24390,19013
28268,21280
26117,19655
76467,55061
73136,54065
71029,52716
67118,51262
61399,51951
64780,50517
62534,51334
67362,53513
74925,55090
72319,53849
0,0
0,0
0,0
0,0
0,0
634,0
0,0
0,0
0,0
0,0
13466,13290
3151,2297
11743,10428
14573,13350
13275,6647
8319,8028
11653,7846
11484,10582
19899,16079
15597,13694
57838,39086
58725,41243
45755,43279
42108,40940
63319,47742
54906,40775
50629,47723
60164,43834
42820,35993
60814,46226
0,0
0,0
0,0
0,0
116,0
0,0
0,0
0,0
0,0
0,0
13715,12094
9630,7510
10956,9567
9028,8272
18731,12502
6465,6450
8256,5274
13423,11278
11273,10458
5471,5471
49459,43233
73655,49318
66923,54763
45536,38214
57352,45977
53671,44933
69655,54856
51191,42488
47163,43645
61297,45504
10,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1097,0
0,0
16714,15501
9322,8334
7593,7066
12815,10369
7577,7148
5363,4352
10035,9132
14850,12354
8001,7769
24722,20376
67036,50117
51512,43514
56826,47398
67028,46921
65273,47949
57127,47429
47746,42212
57566,45028
63531,52605
63158,49529
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
7914,6912
648,542
0,0
1821,1515
0,0
0,0
382,219
50445,45755
54519,44853
53057,46846
46203,37103
50090,42783
58110,46819
52101,42094
65635,52123
40690,40436
61839,49776
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7111,7084
0,0
4122,3931
0,0
1000,856
77,77
0,0
246,82
1256,1256
235,0
61235,51018
47504,34502
56540,47062
65564,48507
61142,53226
66501,52602
63517,54399
39652,39070
35797,35713
59204,50377
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
21,0
1929,1572
28,28
132,96
15,0
794,713
3305,3287
11133,10421
48,0
915,593
71442,59926
45321,41029
69490,58289
40430,38008
52482,48191
49361,41197
65591,45588
63187,51573
54660,41688
60444,46182
6728,6112
6955,6637
10270,6573
9406,5933
17006,8717
8747,7063
12033,8891
7508,6721
13242,6629
15058,8039
64148,44012
55048,41499
59229,42248
67396,43672
49450,39717
53281,37195
51070,42485
47953,37935
55745,36246
60006,42862
136865,96354
150951,105007
138813,108682
142048,101254
137762,102913
139431,110027
130630,100300
125147,100600
125444,100592
141014,110769
9954,6704
11509,7102
13256,8842
12196,7622
10788,8188
10564,7490
13520,7748
6498,6292
16151,8863
7659,5520
68770,45659
68504,41980
55926,49367
61921,42474
55538,44061
48184,41257
57235,45160
54162,44371
62535,44192
54811,39906
150181,119067
142869,109309
152001,119011
150137,111104
146023,107067
136653,110798
144532,108680
143498,115288
154615,109412
149913,116128
7633,7407
14723,10826
9851,8695
5906,5294
7565,7375
7608,6549
9247,8676
11720,6395
8517,7316
13881,6561
60031,45891
65604,44080
64256,44760
64913,47120
50796,45813
62509,45839
63222,47683
56577,47181
57043,44970
53629,43103
141926,112077
146757,112567
149560,118032
137326,115039
142708,119760
138200,114339
145838,110230
145679,115647
137839,107969
129186,111014
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
19091,15288
23131,19747
40322,36209
18519,17712
22489,22154
18652,17188
27715,25324
14295,12927
30514,25935
20330,20085
113794,98196
129082,105840
113314,78757
114282,89904
99006,88992
131490,98083
106491,91489
108286,88606
107263,92978
97395,90308
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
18605,11515
16533,14726
18688,17355
19584,17738
11208,11165
42478,36160
24950,20345
11480,10472
13126,12585
9040,9036
108714,95849
96760,90981
87955,85419
120618,104497
134230,105530
120828,103325
125898,102840
114492,103737
121361,106332
155233,122336
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
23950,21299
23347,20473
12347,11662
19755,18498
25118,21477
18435,16846
40156,34763
13375,13226
15599,15431
34043,30144
90791,90052
127234,106950
92043,90842
117283,99231
139917,115317
100500,100428
139139,118496
136940,105477
136937,108249
117717,102556
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
599,599
0,0
0,0
0,0
102,0
530,87
131823,106364
125487,96440
83090,82207
87370,80561
149347,106793
85130,83066
98488,94292
94208,94208
125785,108376
78818,77349
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
812,470
0,0
0,0
8478,8183
1740,1740
16920,16333
14,0
71103,70608
101097,100078
93966,93725
82277,81570
86269,83294
155153,118841
134554,109571
113111,105984
117130,99595
106184,101198
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
115,105
8542,8511
0,0
2958,1906
630,593
6614,5471
90870,90214
127516,106420
107386,96824
70903,70706
148197,113515
92880,89391
142019,112351
92727,92727
118380,109795
56131,56109
