B&BA1,B&BA2
1462,1185
2057,1550
1336,735
2091,1142
829,545
1470,978
889,696
1064,777
989,641
864,789
5545,4524
6059,4872
5924,5044
4841,3766
7667,4876
6741,4729
7917,4538
7336,4701
5877,4556
8720,5432
17109,12002
15633,12348
15832,11976
15855,10654
15005,11997
15866,12044
16169,13082
13764,11497
16594,12879
15630,11327
671,671
1198,844
1366,879
1509,592
1465,1236
1053,802
1468,1184
908,701
789,714
1368,983
5802,4390
6120,4443
5342,4724
4853,4487
6547,4842
8137,4564
7054,5038
5089,4461
6144,5074
5390,4397
15095,12397
14169,11347
15442,11855
16002,12823
15684,12821
14810,11320
14574,11144
14547,11060
13124,10469
13581,11706
1585,1343
1074,832
1049,886
1171,960
1185,1002
1727,937
1157,903
2222,1404
929,653
1108,849
5727,4736
5866,5073
6971,5284
6277,4306
6645,4757
6474,4734
6827,5179
5549,4805
7374,5414
6864,5143
14118,11962
16861,12739
13165,11827
17174,13590
17301,12429
15181,12686
18456,14347
15960,13215
14881,12740
16269,13247
91,0
0,0
0,0
0,0
0,0
62,7
0,0
0,0
0,0
14,0
3515,2188
2021,2005
1992,1992
2179,1830
989,915
2761,2710
2223,2178
5639,4874
5208,4682
4510,4033
11829,8920
15136,12447
10521,8206
13361,10183
12800,10229
17473,13404
10668,8483
12972,7771
10221,8476
17143,11822
0,0
0,0
0,0
0,0
0,0
264,116
293,0
0,0
0,0
0,0
3909,3566
2245,2010
5569,4098
3381,3339
2441,1974
3535,2432
2019,1524
1680,1443
1998,1620
1569,1253
11657,8643
13230,10120
13116,10681
14392,10880
17138,12079
15534,11758
10525,8513
7429,6395
13442,9917
11776,9009
145,28
0,0
0,0
0,0
199,186
324,0
35,0
0,0
0,0
0,0
3829,2960
1581,1581
2441,1963
6995,5540
1625,1418
3488,2257
3527,2838
3894,3831
2360,1795
2399,2125
11484,9769
13679,9680
20877,14551
15539,12607
10951,9843
9563,7263
8496,7264
19613,13310
10095,8648
15710,10399
0,0
1078,599
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
767,750
238,205
4639,3947
6877,4325
842,711
56,48
127,102
0,0
5955,3969
23,0
10328,7926
13785,10474
19264,14192
17206,12220
12287,9609
13792,10822
6381,5140
19338,15221
5398,4168
19413,14632
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3778,2717
520,431
827,712
1641,1530
3645,2335
0,0
93,82
984,984
1351,1004
212,0
12597,8495
9280,7349
15231,11831
20492,14954
12636,9293
14624,10298
14813,11439
2437,2143
8881,7721
17255,13116
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
4459,3762
126,100
5170,4511
316,239
765,370
1043,915
189,189
5516,4307
3318,2835
3459,3034
20428,15483
13484,11023
7766,5296
2757,2338
9118,7434
14395,11255
9938,8314
12942,9981
20546,15859
17960,15088
2368,1898
3323,2235
2993,2901
3471,2412
2171,1875
4395,2239
2730,2130
1954,1954
2519,1621
2280,1867
15174,12498
15320,10730
18741,12055
16709,11764
13766,12661
16353,12402
18668,13355
14098,10941
19333,13181
16237,13165
38236,29135
39544,29180
40333,32315
35988,29591
36768,29987
35010,27715
37888,28412
32028,27300
35640,29474
35113,25981
2976,2819
3687,2082
1206,1206
1966,1659
2063,1813
2509,1641
2287,2065
4552,2219
2288,1523
2766,1850
16952,12680
13156,11761
19449,12433
17330,13363
13213,12249
17137,15236
14252,11482
14229,10290
18244,13276
18843,14545
38645,30730
38956,30672
43527,34569
38788,31262
35730,29072
43141,33472
46278,33866
42161,31310
41738,34305
37206,32345
3529,1527
4065,2959
3953,2511
3193,2105
3212,2300
1610,1462
3361,2595
1980,1950
3195,1868
5463,2017
16064,12604
15202,12229
18208,15301
15302,12301
15063,12527
18432,13135
20668,14280
17837,13874
15536,11878
18787,13134
39781,29457
39396,31129
41435,32209
41294,31354
39204,32677
41917,31631
42053,33395
40938,33043
40386,31505
41355,31857
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
9337,9005
8746,8065
7283,5593
6000,4705
2994,2918
5133,4855
4813,4740
4868,3861
3357,1878
10542,7782
35109,26497
23517,21391
36599,27204
31287,24266
36912,28068
29221,24555
29238,23049
32825,25455
36154,27809
30628,24792
0,0
0,0
14,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3100,2750
3897,3549
6076,5654
3257,2536
7648,5746
9141,6861
11389,8916
3143,2373
7130,5315
5819,3887
22810,19272
31787,25798
30209,25227
32546,25926
23501,21687
34269,27208
34056,26060
30646,23214
32753,24751
28055,22777
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
57,0
6247,6058
4928,4876
4212,3986
6259,6217
5526,4256
3388,2870
6536,6522
7242,7200
4214,3511
3180,3023
31177,24711
32545,25451
32642,24889
32741,28455
35815,28303
42403,31517
36757,29294
34372,26966
37473,29226
25725,21135
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
546,224
763,727
677,274
449,410
0,0
67,67
0,0
528,265
0,0
1010,1001
41899,29597
26380,21873
34529,30441
18587,12521
29054,20517
38329,27198
34673,22410
23059,19253
31570,21365
29767,21760
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
693,512
0,0
114,6
0,0
2487,1924
0,0
0,0
3499,3274
34816,28489
35590,25574
32627,25307
40402,32095
10544,9481
39128,29377
37493,25831
36102,28904
15872,15228
14619,14141
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
360,199
0,0
1009,767
927,637
3958,3958
801,484
39,0
611,611
4296,4095
20289,17650
36470,31287
39799,30911
42586,33758
39224,30777
15024,14163
30556,23510
47755,37540
36860,28943
17718,16814
4532,4323
7044,3993
6050,5333
9267,5525
5224,4753
3544,3480
4886,4760
4083,3374
6439,5432
5132,3419
32671,28141
35967,30824
42537,31993
44374,29790
32224,24220
33968,25071
33617,25987
44545,29202
39416,28132
42816,28107
98440,77138
85256,71754
87933,70289
87142,68996
92307,71635
98246,78420
92665,72221
91442,69395
96768,77584
84206,71969
4268,4184
5233,4909
4800,4512
5253,5253
6717,5408
4668,4235
10987,5492
6088,4197
4324,3441
5464,4590
37036,28717
33687,28339
35422,28871
37237,31826
35056,27972
35889,29552
37763,29967
35622,24684
33739,28165
35742,28932
86354,76519
96035,81346
97666,76496
102274,78612
103012,83806
103358,84596
88956,77228
99199,84923
93684,73373
98776,78553
4331,3678
6017,5646
5468,5032
7358,5509
7860,4775
4782,4649
3897,3501
5601,4394
4519,3980
3859,3612
45877,31627
38685,28748
44003,28348
44180,30717
42344,27805
41480,28162
32605,29619
37168,30614
34703,28242
33044,30105
92941,76281
97857,78305
94946,78672
89694,74974
95193,77710
95144,78731
93112,77163
101928,80999
87999,74039
90468,76537
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
19272,14289
10911,10049
22258,21670
17012,14374
9106,9106
13794,13079
12389,10201
6063,5529
11541,10030
9024,8818
67749,54466
81886,60316
64143,50226
77427,56729
102439,71226
69488,54358
60030,53349
71441,61947
71515,51075
94500,69981
0,0
0,0
120,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
12943,10493
8603,8501
11269,11180
11174,8099
10940,9992
18568,17606
11919,9885
15035,10363
22238,17857
9416,8043
70693,60808
71161,61498
81437,62146
84145,67097
58789,51441
81719,64906
83351,65738
68391,62116
71771,61573
81163,62124
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
20999,17919
27772,27518
9806,9640
11181,10390
8219,7244
17323,15767
23594,21828
17642,13364
8768,8490
12826,11358
91989,67088
67665,56658
66720,58131
99024,71583
86871,72232
79488,68270
61000,57065
62050,53714
64561,55969
57368,49879
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2357,822
0,0
0,0
0,0
199,199
0,0
21479,19002
68308,52237
93613,68772
79837,60129
64908,51936
53312,44651
71673,56502
81886,58976
55418,44818
66013,56078
40748,40739
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3322,2525
2080,2080
0,0
366,10
0,0
0,0
0,0
481,437
1944,1323
67809,55519
37647,32290
47263,43523
106330,88676
62104,51506
105676,93483
53291,44097
67525,53458
66989,55137
58500,49373
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
201,0
1256,508
0,0
2366,2366
72046,52232
42269,37759
43731,39531
94181,72104
87240,71833
80760,63532
57314,48009
62963,52360
61912,54541
57248,50712
14161,10769
13698,10340
10407,9416
10110,7173
12387,11367
15078,9389
8856,8856
12401,11402
13118,9050
14038,10260
76842,56626
