B&BA1,B&BA2
83256,57044
77283,62864
87288,60858
66219,58294
64637,61916
70491,55062
76283,56913
74954,60753
70131,59635
193025,160565
209977,171336
194764,154635
180750,157720
215690,171843
198421,162232
187600,158773
205553,168603
187957,153719
188862,156788
8330,7716
9759,9713
9182,8266
9416,7637
12196,9446
13601,8026
10652,8896
22375,11852
11605,9390
14800,10183
77541,65987
75672,66167
82451,58764
82082,62571
82548,61713
81737,64066
78464,64346
87577,71512
77169,67864
75726,60842
213076,170412
216744,172727
203583,170334
191810,154363
201000,167819
200481,163131
214026,160121
183540,155863
211518,181569
205981,170608
9274,9196
17590,10921
16558,10777
9160,9123
12846,9949
11788,10689
8454,8215
18223,9404
27580,8409
10699,8774
72816,68017
71549,61895
86311,68553
90231,60005
94637,69680
72608,65374
70680,58641
87498,60218
81933,67973
76286,66642
208776,178415
212209,172223
191780,158102
206995,172208
206606,180427
196716,165294
201930,165398
214812,167690
205239,174978
195062,165592
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
26241,24732
23371,22628
22141,21389
15544,13959
26120,20800
19502,18421
29748,27023
22122,19089
30945,29542
40878,32077
148991,122444
154096,135087
161779,130744
149381,125605
183797,143206
167754,132722
161024,132877
183626,147113
162779,115137
155257,140099
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
24580,23424
25217,20381
27887,25483
24089,22417
16531,15283
40302,39302
26903,19718
24496,22952
28572,24592
30395,23608
136231,133835
146749,141324
143605,130226
173726,136914
167057,159874
152576,145216
171089,136975
170471,149623
161933,148473
117789,114828
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
31275,29982
15012,12826
41850,29986
17796,16350
39134,28889
16741,15304
33093,30935
25226,20592
20944,19272
31051,28619
202933,170951
160999,144366
160233,139339
156224,129340
177558,139550
144337,124663
180141,157932
157417,146101
155629,137403
173639,145301
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
19409,16454
0,0
10052,9255
0,0
0,0
0,0
1870,1402
165,18
0,0
136004,109739
93129,89234
135577,114464
105533,94194
159395,125224
137701,110610
121817,98558
183027,149082
113778,94773
157087,128462
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
671,420
0,0
0,0
0,0
103,88
0,0
4582,3504
0,0
0,0
0,0
160804,126569
117130,109413
165357,119425
156608,131497
140530,123467
145211,131720
177569,127527
116518,97681
159383,134380
106216,102256
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2346,2312
0,0
0,0
0,0
3125,3125
0,0
0,0
0,0
0,0
0,0
124541,111824
116986,103469
152866,122281
147697,111688
182199,156557
145648,114285
182547,133234
237885,200476
193934,152441
95237,95123
