B&BA1,B&BA2
2525,1028
1137,932
1147,850
1724,1361
873,627
2121,1014
1344,920
1792,1219
2065,1108
2601,1336
8547,6652
9152,5410
5961,5026
8201,6250
8559,5943
9843,6914
7990,6295
7385,5470
7961,6341
7594,5972
19341,15117
19165,15514
18564,15175
16638,13311
18556,15013
18032,14127
18768,15180
19768,15074
16430,12866
19885,15834
1753,1182
2624,1831
1582,1057
1136,823
1239,924
1827,1072
1086,1005
1362,1153
1314,1030
1476,1329
9500,7087
7424,5736
7830,6151
7579,5838
7507,5767
7978,6690
9468,7061
7481,6400
8165,6030
6758,5457
18770,15559
20532,17049
20095,15574
19269,16437
20657,17580
20146,15945
19671,16174
23690,17442
18592,15033
19219,16458
1368,1106
1063,1063
1299,1047
1708,1050
1034,810
1626,1340
1437,850
2643,1208
2671,1545
1176,1098
7800,6326
8620,6618
8356,6758
8134,6325
7984,7036
9610,6815
8412,6347
8818,6604
9332,7018
7811,6131
18617,14396
21287,17071
19929,16569
20183,16194
19516,16301
20547,16410
22077,15287
23143,17964
19385,15731
19958,16558
0,0
0,0
283,0
0,0
0,0
0,0
0,0
1083,178
0,0
0,0
6233,5629
3760,3601
2685,2226
3237,1870
8192,5912
3294,3263
4165,3384
2968,2963
11189,6379
6004,4599
13912,11008
12146,9036
10348,8553
21309,13306
9929,8817
13652,9593
19417,14409
15572,11140
14251,11686
17369,12221
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1215,1136
7185,5555
4826,3752
5198,3724
1531,1473
6765,4647
1564,1059
2473,2448
6832,5343
2737,1936
16639,13296
23052,16955
17099,12595
25162,16821
19238,13873
17754,13941
20696,15095
18875,14037
14666,11963
17565,13705
0,0
0,0
454,0
97,0
0,0
36,0
0,0
0,0
0,0
0,0
2285,2214
3988,2641
5451,4730
4167,2544
4358,2430
7866,5051
5600,5426
4751,4071
1515,875
1321,1321
19539,14586
20865,15135
18047,14225
18184,13504
10749,9591
21272,14586
16584,13005
15289,13390
19044,14957
17037,10728
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2896,2896
642,219
295,182
0,0
4,0
96,62
0,0
49,0
1892,1335
10033,6939
20348,14649
21380,16038
10258,8081
25338,19438
9596,7646
19305,14032
18853,15355
23280,18806
12337,9109
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
17,0
2443,1809
0,0
4099,3467
2363,2363
3919,2595
236,221
24,0
449,359
0,0
13154,9905
13747,10475
22219,18302
19634,14061
21185,16552
18243,15968
13274,10796
15289,11978
17768,14262
14714,11108
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
219,107
8379,6993
17,0
1373,1373
738,547
386,386
8884,6264
3108,2209
6220,6220
1799,1769
11128,8380
24371,18253
9982,8696
11789,8385
18021,14326
20336,16376
14940,12339
11189,8744
25844,21153
17753,14782
3300,3282
4316,1865
1942,1558
3034,2269
2337,2190
4326,2592
2722,2271
4214,3448
2302,1715
3022,2411
19937,13077
17962,13360
19888,16303
